"target","location","forecast_date","target_end_date","quantile","value","type"
"5 day ahead inc hosp","06",2022-08-22,2022-08-27,0.99,1002.02,"quantile"
"6 day ahead inc hosp","06",2022-08-22,2022-08-28,0.99,976.04,"quantile"
"7 day ahead inc hosp","06",2022-08-22,2022-08-29,0.99,965.12,"quantile"
"8 day ahead inc hosp","06",2022-08-22,2022-08-30,0.99,960.14,"quantile"
"9 day ahead inc hosp","06",2022-08-22,2022-08-31,0.99,963,"quantile"
"10 day ahead inc hosp","06",2022-08-22,2022-09-01,0.99,967.02,"quantile"
"11 day ahead inc hosp","06",2022-08-22,2022-09-02,0.99,962.2,"quantile"
"12 day ahead inc hosp","06",2022-08-22,2022-09-03,0.99,955.09,"quantile"
"13 day ahead inc hosp","06",2022-08-22,2022-09-04,0.99,953.02,"quantile"
"14 day ahead inc hosp","06",2022-08-22,2022-09-05,0.99,949.01,"quantile"
"15 day ahead inc hosp","06",2022-08-22,2022-09-06,0.99,951.11,"quantile"
"16 day ahead inc hosp","06",2022-08-22,2022-09-07,0.99,915.05,"quantile"
"17 day ahead inc hosp","06",2022-08-22,2022-09-08,0.99,1010.02,"quantile"
"18 day ahead inc hosp","06",2022-08-22,2022-09-09,0.99,923.05,"quantile"
"19 day ahead inc hosp","06",2022-08-22,2022-09-10,0.99,951,"quantile"
"20 day ahead inc hosp","06",2022-08-22,2022-09-11,0.99,945.1,"quantile"
"21 day ahead inc hosp","06",2022-08-22,2022-09-12,0.99,1015,"quantile"
"22 day ahead inc hosp","06",2022-08-22,2022-09-13,0.99,939.08,"quantile"
"23 day ahead inc hosp","06",2022-08-22,2022-09-14,0.99,990.06,"quantile"
"24 day ahead inc hosp","06",2022-08-22,2022-09-15,0.99,966.03,"quantile"
"25 day ahead inc hosp","06",2022-08-22,2022-09-16,0.99,936.03,"quantile"
"26 day ahead inc hosp","06",2022-08-22,2022-09-17,0.99,962.05,"quantile"
"27 day ahead inc hosp","06",2022-08-22,2022-09-18,0.99,928.05,"quantile"
"28 day ahead inc hosp","06",2022-08-22,2022-09-19,0.99,928.02,"quantile"
"29 day ahead inc hosp","06",2022-08-22,2022-09-20,0.99,943.05,"quantile"
"30 day ahead inc hosp","06",2022-08-22,2022-09-21,0.99,957,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.01,15,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.01,14,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.01,14,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.01,14,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.01,12,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.01,12,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.01,12,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.01,11.99,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.01,10,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.01,12,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.01,10,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.01,11,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.01,10,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.01,9,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.01,9,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.01,8,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.01,7,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.01,8,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.01,7,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.01,7,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.01,7,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.01,6.99,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.01,6,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.01,5.99,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.01,7,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.01,5,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.01,5,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.01,5,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.01,4.99,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.01,5,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.025,19,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.025,18,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.025,18,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.025,16,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.025,15,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.025,15,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.025,15,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.025,14,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.025,13.975,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.025,14,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.025,13,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.025,13,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.025,12,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.025,12,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.025,11,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.025,11,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.025,10,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.025,10,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.025,9,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.025,9,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.025,9,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.025,9,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.025,8,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.025,7,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.025,9,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.025,7,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.025,7,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.025,7,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.025,6.975,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.025,6,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.05,21,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.05,21,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.05,20,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.05,20,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.05,18,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.05,18,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.05,18,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.05,16,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.05,16,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.05,16,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.05,15,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.05,15,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.05,14,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.05,14,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.05,13,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.05,12,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.05,12,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.05,12,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.05,11,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.05,11,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.05,11,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.05,10,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.05,10,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.05,9,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.05,10,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.05,9,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.05,9,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.05,9,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.05,8,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.05,8,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.1,25,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.1,25,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.1,24,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.1,24,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.1,22,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.1,21,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.1,21,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.1,20,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.1,19,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.1,19,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.1,17,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.1,18,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.1,18,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.1,17,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.1,16,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.1,15,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.1,15,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.1,14,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.1,14,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.1,14,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.1,13,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.1,13,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.1,12,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.1,11,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.1,12,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.1,11,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.1,11,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.1,10,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.1,10,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.1,10,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.15,28,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.15,28,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.15,26,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.15,26.85,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.15,25,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.15,24,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.15,23,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.15,22,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.15,22,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.15,21,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.15,20,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.15,20,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.15,20,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.15,19,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.15,18,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.15,17,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.15,17,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.15,16,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.15,16,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.15,15,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.15,15,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.15,14,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.15,14,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.15,13,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.15,13,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.15,13,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.15,12,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.15,12,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.15,11.85,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.15,11,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.2,30,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.2,30,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.2,29,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.2,29,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.2,27,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.2,26,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.2,25,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.2,24,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.2,23,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.2,23,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.2,22,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.2,22,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.2,22,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.2,20,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.2,20,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.2,19,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.2,19,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.2,18,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.2,17,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.2,17,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.2,17,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.2,16,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.2,16,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.2,15,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.2,15,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.2,14,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.2,14,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.2,13,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.2,13,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.2,13,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.25,32,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.25,32,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.25,31,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.25,31,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.25,28,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.25,28,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.25,28,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.25,26,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.25,25,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.25,24,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.25,23,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.25,23,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.25,23,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.25,22,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.25,21,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.25,20,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.25,20,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.25,19,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.25,19,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.25,18.75,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.25,18,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.25,17,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.25,17,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.25,16,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.25,16,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.25,15,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.25,15,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.25,15,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.25,14,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.25,14,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.3,34,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.3,33,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.3,33,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.3,32,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.3,30,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.3,30,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.3,29.7,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.3,28,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.3,27,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.3,26,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.3,25,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.3,25,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.3,24,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.3,23,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.3,23,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.3,22,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.3,21,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.3,21,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.3,20,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.3,20,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.3,19,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.3,18,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.3,18,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.3,17,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.3,17,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.3,17,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.3,16,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.3,16,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.3,15,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.3,15,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.35,36,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.35,35,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.35,35,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.35,34,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.35,32,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.35,32,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.35,31,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.35,29,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.35,29,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.35,28,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.35,27,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.35,27,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.35,26,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.35,25,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.35,24,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.35,23,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.35,23,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.35,22,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.35,22,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.35,21,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.35,20,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.35,20,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.35,20,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.35,19,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.35,19,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.35,18,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.35,17,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.35,17,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.35,16.6500000000001,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.35,16,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.4,38,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.4,37,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.4,36,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.4,35,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.4,34,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.4,33,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.4,33,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.4,31,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.4,30,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.4,29,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.4,29,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.4,28,"quantile"
"13 day ahead inc hosp","08",2022-08-22,2022-09-04,0.4,27,"quantile"
"14 day ahead inc hosp","08",2022-08-22,2022-09-05,0.4,27,"quantile"
"15 day ahead inc hosp","08",2022-08-22,2022-09-06,0.4,26,"quantile"
"16 day ahead inc hosp","08",2022-08-22,2022-09-07,0.4,24,"quantile"
"17 day ahead inc hosp","08",2022-08-22,2022-09-08,0.4,24,"quantile"
"18 day ahead inc hosp","08",2022-08-22,2022-09-09,0.4,24,"quantile"
"19 day ahead inc hosp","08",2022-08-22,2022-09-10,0.4,23,"quantile"
"20 day ahead inc hosp","08",2022-08-22,2022-09-11,0.4,23,"quantile"
"21 day ahead inc hosp","08",2022-08-22,2022-09-12,0.4,22,"quantile"
"22 day ahead inc hosp","08",2022-08-22,2022-09-13,0.4,21,"quantile"
"23 day ahead inc hosp","08",2022-08-22,2022-09-14,0.4,21,"quantile"
"24 day ahead inc hosp","08",2022-08-22,2022-09-15,0.4,20,"quantile"
"25 day ahead inc hosp","08",2022-08-22,2022-09-16,0.4,20,"quantile"
"26 day ahead inc hosp","08",2022-08-22,2022-09-17,0.4,19,"quantile"
"27 day ahead inc hosp","08",2022-08-22,2022-09-18,0.4,18,"quantile"
"28 day ahead inc hosp","08",2022-08-22,2022-09-19,0.4,18,"quantile"
"29 day ahead inc hosp","08",2022-08-22,2022-09-20,0.4,18,"quantile"
"30 day ahead inc hosp","08",2022-08-22,2022-09-21,0.4,17,"quantile"
"1 day ahead inc hosp","08",2022-08-22,2022-08-23,0.45,40,"quantile"
"2 day ahead inc hosp","08",2022-08-22,2022-08-24,0.45,39,"quantile"
"3 day ahead inc hosp","08",2022-08-22,2022-08-25,0.45,38,"quantile"
"4 day ahead inc hosp","08",2022-08-22,2022-08-26,0.45,37,"quantile"
"5 day ahead inc hosp","08",2022-08-22,2022-08-27,0.45,35,"quantile"
"6 day ahead inc hosp","08",2022-08-22,2022-08-28,0.45,35,"quantile"
"7 day ahead inc hosp","08",2022-08-22,2022-08-29,0.45,34,"quantile"
"8 day ahead inc hosp","08",2022-08-22,2022-08-30,0.45,33,"quantile"
"9 day ahead inc hosp","08",2022-08-22,2022-08-31,0.45,32,"quantile"
"10 day ahead inc hosp","08",2022-08-22,2022-09-01,0.45,30,"quantile"
"11 day ahead inc hosp","08",2022-08-22,2022-09-02,0.45,30,"quantile"
"12 day ahead inc hosp","08",2022-08-22,2022-09-03,0.45,29.5500000000001,"quantile"
