"target","location","forecast_date","target_end_date","quantile","value","type"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.1,5,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.1,5.90000000000001,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.1,6,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.1,5,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.1,6,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.1,5,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.1,5,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.1,5,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.1,5,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.1,6,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.1,5,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.1,5,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.1,5,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.1,5,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.1,5,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.1,5,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.1,5,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.1,5,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.1,5,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.1,5,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.1,5,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.1,5,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.15,6,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.15,6,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.15,6,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.15,6,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.15,6,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.15,6,"quantile"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.15,6,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.15,6,"quantile"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.15,6,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.15,6,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.15,6,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.15,6,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.15,6,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.15,6,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.15,6,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.15,6,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.15,6,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.15,6,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.15,6,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.15,6,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.15,6,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.15,6,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.15,6,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.15,6,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.15,6,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.15,6,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.15,6,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.15,6,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.15,6,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.15,6,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.2,7,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.2,7,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.2,7,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.2,7,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.2,7,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.2,7,"quantile"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.2,7,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.2,7,"quantile"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.2,7,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.2,7,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.2,7,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.2,7,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.2,7,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.2,7,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.2,7,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.2,7,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.2,7,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.2,7,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.2,7,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.2,7,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.2,7,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.2,7,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.2,7,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.2,7,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.2,7,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.2,7,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.2,7,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.2,7,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.2,7,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.2,7,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.25,8,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.25,7,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.25,8,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.25,7,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.25,8,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.25,8,"quantile"
"7 day ahead inc hosp","02",2022-08-22,2022-08-29,0.25,8,"quantile"
"8 day ahead inc hosp","02",2022-08-22,2022-08-30,0.25,8,"quantile"
"9 day ahead inc hosp","02",2022-08-22,2022-08-31,0.25,8,"quantile"
"10 day ahead inc hosp","02",2022-08-22,2022-09-01,0.25,8,"quantile"
"11 day ahead inc hosp","02",2022-08-22,2022-09-02,0.25,8,"quantile"
"12 day ahead inc hosp","02",2022-08-22,2022-09-03,0.25,8,"quantile"
"13 day ahead inc hosp","02",2022-08-22,2022-09-04,0.25,8,"quantile"
"14 day ahead inc hosp","02",2022-08-22,2022-09-05,0.25,8,"quantile"
"15 day ahead inc hosp","02",2022-08-22,2022-09-06,0.25,8,"quantile"
"16 day ahead inc hosp","02",2022-08-22,2022-09-07,0.25,8,"quantile"
"17 day ahead inc hosp","02",2022-08-22,2022-09-08,0.25,8,"quantile"
"18 day ahead inc hosp","02",2022-08-22,2022-09-09,0.25,8,"quantile"
"19 day ahead inc hosp","02",2022-08-22,2022-09-10,0.25,8,"quantile"
"20 day ahead inc hosp","02",2022-08-22,2022-09-11,0.25,8,"quantile"
"21 day ahead inc hosp","02",2022-08-22,2022-09-12,0.25,8,"quantile"
"22 day ahead inc hosp","02",2022-08-22,2022-09-13,0.25,8,"quantile"
"23 day ahead inc hosp","02",2022-08-22,2022-09-14,0.25,8,"quantile"
"24 day ahead inc hosp","02",2022-08-22,2022-09-15,0.25,8,"quantile"
"25 day ahead inc hosp","02",2022-08-22,2022-09-16,0.25,8,"quantile"
"26 day ahead inc hosp","02",2022-08-22,2022-09-17,0.25,8,"quantile"
"27 day ahead inc hosp","02",2022-08-22,2022-09-18,0.25,8,"quantile"
"28 day ahead inc hosp","02",2022-08-22,2022-09-19,0.25,8,"quantile"
"29 day ahead inc hosp","02",2022-08-22,2022-09-20,0.25,8,"quantile"
"30 day ahead inc hosp","02",2022-08-22,2022-09-21,0.25,8,"quantile"
"1 day ahead inc hosp","02",2022-08-22,2022-08-23,0.3,8,"quantile"
"2 day ahead inc hosp","02",2022-08-22,2022-08-24,0.3,8,"quantile"
"3 day ahead inc hosp","02",2022-08-22,2022-08-25,0.3,8,"quantile"
"4 day ahead inc hosp","02",2022-08-22,2022-08-26,0.3,8,"quantile"
"5 day ahead inc hosp","02",2022-08-22,2022-08-27,0.3,9,"quantile"
"6 day ahead inc hosp","02",2022-08-22,2022-08-28,0.3,8,"quantile"
